phase,blocknum,stimulus,outcome,context,trialname,exp_response,pain_response,trialnum,PID,group,group_name,cb,shock_level,shock_high,shock_low
conditioning,1,TENS,low,A,TENS_low,,,1,3,2,AAA,2,1,1,11
conditioning,1,control,high,A,control_high,,,2,3,2,AAA,2,1,1,11
conditioning,1,TENS,low,A,TENS_low,,,3,3,2,AAA,2,1,1,11
conditioning,1,control,high,A,control_high,,,4,3,2,AAA,2,1,1,11
conditioning,1,control,high,A,control_high,,,5,3,2,AAA,2,1,1,11
conditioning,1,TENS,low,A,TENS_low,,,6,3,2,AAA,2,1,1,11
conditioning,1,control,high,A,control_high,,,7,3,2,AAA,2,1,1,11
conditioning,1,TENS,low,A,TENS_low,,,8,3,2,AAA,2,1,1,11
conditioning,2,TENS,low,A,TENS_low,,,9,3,2,AAA,2,1,1,11
conditioning,2,control,high,A,control_high,,,10,3,2,AAA,2,1,1,11
conditioning,2,TENS,low,A,TENS_low,,,11,3,2,AAA,2,1,1,11
conditioning,2,control,high,A,control_high,,,12,3,2,AAA,2,1,1,11
conditioning,2,TENS,low,A,TENS_low,,,13,3,2,AAA,2,1,1,11
conditioning,2,control,high,A,control_high,,,14,3,2,AAA,2,1,1,11
conditioning,2,TENS,low,A,TENS_low,,,15,3,2,AAA,2,1,1,11
conditioning,2,control,high,A,control_high,,,16,3,2,AAA,2,1,1,11
conditioning,3,TENS,high,A,probe,,,17,3,2,AAA,2,1,1,11
conditioning,3,TENS,low,A,TENS_low,,,18,3,2,AAA,2,1,1,11
conditioning,3,control,high,A,control_high,,,19,3,2,AAA,2,1,1,11
conditioning,3,control,high,A,control_high,,,20,3,2,AAA,2,1,1,11
conditioning,3,control,high,A,control_high,,,21,3,2,AAA,2,1,1,11
conditioning,3,TENS,low,A,TENS_low,,,22,3,2,AAA,2,1,1,11
conditioning,3,TENS,low,A,TENS_low,,,23,3,2,AAA,2,1,1,11
conditioning,3,control,high,A,control_high,,,24,3,2,AAA,2,1,1,11
conditioning,3,TENS,low,A,TENS_low,,,25,3,2,AAA,2,1,1,11
conditioning,4,TENS,high,A,probe,,,26,3,2,AAA,2,1,1,11
conditioning,4,control,high,A,control_high,,,27,3,2,AAA,2,1,1,11
conditioning,4,TENS,low,A,TENS_low,,,28,3,2,AAA,2,1,1,11
conditioning,4,TENS,low,A,TENS_low,,,29,3,2,AAA,2,1,1,11
conditioning,4,control,high,A,control_high,,,30,3,2,AAA,2,1,1,11
conditioning,4,TENS,low,A,TENS_low,,,31,3,2,AAA,2,1,1,11
conditioning,4,control,high,A,control_high,,,32,3,2,AAA,2,1,1,11
conditioning,4,control,high,A,control_high,,,33,3,2,AAA,2,1,1,11
conditioning,4,TENS,low,A,TENS_low,,,34,3,2,AAA,2,1,1,11
extinction,1,control,high,B,control_high,,,35,3,2,AAA,2,1,1,11
extinction,1,TENS,high,B,TENS_high,,,36,3,2,AAA,2,1,1,11
extinction,1,TENS,high,B,TENS_high,,,37,3,2,AAA,2,1,1,11
extinction,1,control,high,B,control_high,,,38,3,2,AAA,2,1,1,11
extinction,1,TENS,high,B,TENS_high,,,39,3,2,AAA,2,1,1,11
extinction,1,control,high,B,control_high,,,40,3,2,AAA,2,1,1,11
extinction,1,TENS,high,B,TENS_high,,,41,3,2,AAA,2,1,1,11
extinction,1,control,high,B,control_high,,,42,3,2,AAA,2,1,1,11
extinction,2,control,high,B,control_high,,,43,3,2,AAA,2,1,1,11
extinction,2,control,high,B,control_high,,,44,3,2,AAA,2,1,1,11
extinction,2,control,high,B,control_high,,,45,3,2,AAA,2,1,1,11
extinction,2,TENS,high,B,TENS_high,,,46,3,2,AAA,2,1,1,11
extinction,2,TENS,high,B,TENS_high,,,47,3,2,AAA,2,1,1,11
extinction,2,TENS,high,B,TENS_high,,,48,3,2,AAA,2,1,1,11
extinction,2,control,high,B,control_high,,,49,3,2,AAA,2,1,1,11
extinction,2,TENS,high,B,TENS_high,,,50,3,2,AAA,2,1,1,11
extinction,3,TENS,high,B,TENS_high,,,51,3,2,AAA,2,1,1,11
extinction,3,TENS,high,B,TENS_high,,,52,3,2,AAA,2,1,1,11
extinction,3,control,high,B,control_high,,,53,3,2,AAA,2,1,1,11
extinction,3,control,high,B,control_high,,,54,3,2,AAA,2,1,1,11
extinction,3,TENS,high,B,TENS_high,,,55,3,2,AAA,2,1,1,11
extinction,3,TENS,high,B,TENS_high,,,56,3,2,AAA,2,1,1,11
extinction,3,control,high,B,control_high,,,57,3,2,AAA,2,1,1,11
extinction,3,control,high,B,control_high,,,58,3,2,AAA,2,1,1,11
extinction,4,TENS,high,B,TENS_high,,,59,3,2,AAA,2,1,1,11
extinction,4,control,high,B,control_high,,,60,3,2,AAA,2,1,1,11
extinction,4,control,high,B,control_high,,,61,3,2,AAA,2,1,1,11
extinction,4,TENS,high,B,TENS_high,,,62,3,2,AAA,2,1,1,11
extinction,4,TENS,high,B,TENS_high,,,63,3,2,AAA,2,1,1,11
extinction,4,control,high,B,control_high,,,64,3,2,AAA,2,1,1,11
extinction,4,TENS,high,B,TENS_high,,,65,3,2,AAA,2,1,1,11
extinction,4,control,high,B,control_high,,,66,3,2,AAA,2,1,1,11
renewal,1,TENS,high,A,TENS_high,,,67,3,2,AAA,2,1,1,11
renewal,1,control,high,A,control_high,,,68,3,2,AAA,2,1,1,11
renewal,1,control,high,A,control_high,,,69,3,2,AAA,2,1,1,11
renewal,1,control,high,A,control_high,,,70,3,2,AAA,2,1,1,11
renewal,1,TENS,high,A,TENS_high,,,71,3,2,AAA,2,1,1,11
renewal,1,control,high,A,control_high,,,72,3,2,AAA,2,1,1,11
renewal,1,TENS,high,A,TENS_high,,,73,3,2,AAA,2,1,1,11
renewal,1,TENS,high,A,TENS_high,,,74,3,2,AAA,2,1,1,11
renewal,2,control,high,A,control_high,,,75,3,2,AAA,2,1,1,11
renewal,2,TENS,high,A,TENS_high,,,76,3,2,AAA,2,1,1,11
renewal,2,control,high,A,control_high,,,77,3,2,AAA,2,1,1,11
